[2024-04-30T20:41:19.926+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-30T20:41:19.944+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T20:40:32.428333+00:00 [queued]>
[2024-04-30T20:41:19.951+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T20:40:32.428333+00:00 [queued]>
[2024-04-30T20:41:19.952+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-30T20:41:19.965+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-04-30 20:40:32.428333+00:00
[2024-04-30T20:41:19.970+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=280) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-30T20:41:19.972+0000] {standard_task_runner.py:63} INFO - Started process 282 to run task
[2024-04-30T20:41:19.972+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_yellow_cab', 'load_data', 'manual__2024-04-30T20:40:32.428333+00:00', '--job-id', '275', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpl2_0_24_']
[2024-04-30T20:41:19.975+0000] {standard_task_runner.py:91} INFO - Job 275: Subtask load_data
[2024-04-30T20:41:20.016+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T20:40:32.428333+00:00 [running]> on host 5a1999651bf3
[2024-04-30T20:41:20.096+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_yellow_cab' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-04-30T20:40:32.428333+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-30T20:40:32.428333+00:00'
[2024-04-30T20:41:20.098+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-30T20:41:20.111+0000] {logging_mixin.py:188} INFO - passed engine creation
[2024-04-30T20:41:20.112+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T20:41:20.113+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T20:41:20.113+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T20:41:20.114+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T20:41:20.114+0000] {logging_mixin.py:188} INFO - enter if loop
[2024-04-30T20:41:20.115+0000] {logging_mixin.py:188} INFO - enter file_upload function
[2024-04-30T20:41:20.115+0000] {logging_mixin.py:188} INFO - read filepath
[2024-04-30T20:41:20.486+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:20.680+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.052+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.218+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.429+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.606+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.752+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:21.913+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:22.202+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:22.370+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:22.532+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:22.695+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:23.072+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:23.715+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:24.344+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:24.857+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:25.075+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:25.268+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:25.462+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:25.781+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:25.973+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:26.137+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:26.314+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:26.487+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:26.758+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:26.916+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:27.085+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:27.275+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:27.420+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:27.679+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:27.823+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.005+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.170+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.337+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.525+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.815+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:28.981+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:29.160+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:29.323+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:29.608+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:29.757+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:29.891+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:30.044+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:30.199+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:30.362+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:30.657+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:30.817+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.003+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.167+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.336+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.625+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.787+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:31.959+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:32.123+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:32.276+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:32.429+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:32.726+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:32.882+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:33.033+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:33.182+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:33.342+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:33.633+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:33.815+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:34.059+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:34.213+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:34.415+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:34.572+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:34.869+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:35.022+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:35.180+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:35.335+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:35.490+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T20:41:35.781+0000] {logging_mixin.py:188} INFO - enden upload_to_db
