[2024-04-30T21:29:08.959+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-30T21:29:08.980+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T21:28:37.474619+00:00 [queued]>
[2024-04-30T21:29:08.988+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T21:28:37.474619+00:00 [queued]>
[2024-04-30T21:29:08.988+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-30T21:29:09.000+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-04-30 21:28:37.474619+00:00
[2024-04-30T21:29:09.007+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=109) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-30T21:29:09.008+0000] {standard_task_runner.py:63} INFO - Started process 111 to run task
[2024-04-30T21:29:09.008+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_yellow_cab', 'load_data', 'manual__2024-04-30T21:28:37.474619+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpr2o9ax68']
[2024-04-30T21:29:09.011+0000] {standard_task_runner.py:91} INFO - Job 6: Subtask load_data
[2024-04-30T21:29:09.053+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T21:28:37.474619+00:00 [running]> on host 81aca8f4a8aa
[2024-04-30T21:29:09.141+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_yellow_cab' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-04-30T21:28:37.474619+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-30T21:28:37.474619+00:00'
[2024-04-30T21:29:09.142+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-30T21:29:09.157+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T21:29:09.157+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T21:29:09.158+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T21:29:09.158+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T21:29:09.159+0000] {logging_mixin.py:188} INFO - enter if loop
[2024-04-30T21:29:09.159+0000] {logging_mixin.py:188} INFO - enter file_upload function
[2024-04-30T21:29:09.160+0000] {logging_mixin.py:188} INFO - read filepath
[2024-04-30T21:29:09.491+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:09.678+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:10.050+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:10.345+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:10.757+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:10.924+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.084+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.368+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.525+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.670+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.807+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:11.943+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.223+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.362+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.498+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.632+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.764+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:12.897+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:13.169+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:13.327+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:13.474+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:13.629+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:13.764+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.035+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.194+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.337+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.483+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.638+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:14.915+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.056+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.200+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.337+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.473+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.750+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:15.887+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.035+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.176+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.317+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.457+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.739+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:16.877+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.016+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.154+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.295+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.594+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.743+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:17.891+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.025+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.169+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.423+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.561+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.706+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.844+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:18.980+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.123+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.399+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.544+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.689+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.840+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:19.975+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:20.246+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:20.379+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:20.519+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:20.671+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:20.806+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.097+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.234+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.376+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.513+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.651+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:21.927+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:22.118+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:22.347+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:22.493+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:22.625+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:22.762+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:23.042+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:23.181+0000] {logging_mixin.py:188} INFO - enden upload_to_db
