[2024-04-30T23:47:16.508+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-30T23:47:16.533+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T23:46:36.669548+00:00 [queued]>
[2024-04-30T23:47:16.542+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T23:46:36.669548+00:00 [queued]>
[2024-04-30T23:47:16.543+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-30T23:47:16.560+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-04-30 23:46:36.669548+00:00
[2024-04-30T23:47:16.569+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=88) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-30T23:47:16.573+0000] {standard_task_runner.py:63} INFO - Started process 90 to run task
[2024-04-30T23:47:16.570+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_yellow_cab', 'load_data', 'manual__2024-04-30T23:46:36.669548+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpmw6atkyt']
[2024-04-30T23:47:16.578+0000] {standard_task_runner.py:91} INFO - Job 11: Subtask load_data
[2024-04-30T23:47:16.648+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_yellow_cab.load_data manual__2024-04-30T23:46:36.669548+00:00 [running]> on host ee85e0733ed4
[2024-04-30T23:47:16.755+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_yellow_cab' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-04-30T23:46:36.669548+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-30T23:46:36.669548+00:00'
[2024-04-30T23:47:16.756+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-30T23:47:16.775+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T23:47:16.776+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T23:47:16.776+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-04-30T23:47:16.777+0000] {logging_mixin.py:188} INFO - enter if loop
[2024-04-30T23:47:16.777+0000] {logging_mixin.py:188} INFO - enter file_upload function
[2024-04-30T23:47:16.778+0000] {logging_mixin.py:188} INFO - read filepath
[2024-04-30T23:47:17.219+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:17.444+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:17.837+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.019+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.202+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.363+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.532+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.700+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:18.970+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:19.170+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:19.354+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:19.548+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:19.736+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:20.061+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:20.245+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:20.449+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:20.653+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:20.858+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.050+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.373+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.532+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.679+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.819+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:21.978+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:22.274+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:22.416+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:22.563+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:22.723+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:22.879+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:23.165+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:23.302+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:23.468+0000] {logging_mixin.py:188} INFO - enden upload_to_db
