[2024-05-01T00:49:50.495+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T00:49:50.514+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-05-01T00:49:05.325144+00:00 [queued]>
[2024-05-01T00:49:50.522+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data manual__2024-05-01T00:49:05.325144+00:00 [queued]>
[2024-05-01T00:49:50.522+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-01T00:49:50.536+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-05-01 00:49:05.325144+00:00
[2024-05-01T00:49:50.542+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=865) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T00:49:50.543+0000] {standard_task_runner.py:63} INFO - Started process 867 to run task
[2024-05-01T00:49:50.544+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_yellow_cab', 'load_data', 'manual__2024-05-01T00:49:05.325144+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpyn2sk9ag']
[2024-05-01T00:49:50.546+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask load_data
[2024-05-01T00:49:50.589+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_yellow_cab.load_data manual__2024-05-01T00:49:05.325144+00:00 [running]> on host ee85e0733ed4
[2024-05-01T00:49:50.672+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_yellow_cab' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-01T00:49:05.325144+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-01T00:49:05.325144+00:00'
[2024-05-01T00:49:50.674+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T00:49:50.688+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:49:50.689+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:49:50.689+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:49:50.690+0000] {logging_mixin.py:188} INFO - enter if loop
[2024-05-01T00:49:50.690+0000] {logging_mixin.py:188} INFO - enter file_upload function
[2024-05-01T00:49:50.691+0000] {logging_mixin.py:188} INFO - read filepath
[2024-05-01T00:49:51.443+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:51.655+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.080+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.275+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.477+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.639+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.802+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:52.955+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:53.254+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:53.454+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:53.664+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:53.832+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:53.979+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:54.263+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:54.409+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:54.556+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:54.703+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:54.864+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.007+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.298+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.440+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.595+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.756+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:55.922+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:56.198+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:56.347+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:56.487+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:56.655+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:56.803+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:57.083+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:49:57.225+0000] {logging_mixin.py:188} INFO - enden upload_to_db
