[2024-05-01T00:00:08.345+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T00:00:08.369+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data scheduled__2024-04-30T00:00:00+00:00 [queued]>
[2024-05-01T00:00:08.376+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_yellow_cab.load_data scheduled__2024-04-30T00:00:00+00:00 [queued]>
[2024-05-01T00:00:08.377+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-01T00:00:08.390+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-04-30 00:00:00+00:00
[2024-05-01T00:00:08.398+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=251) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T00:00:08.400+0000] {standard_task_runner.py:63} INFO - Started process 253 to run task
[2024-05-01T00:00:08.400+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_yellow_cab', 'load_data', 'scheduled__2024-04-30T00:00:00+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpd1fqoin7']
[2024-05-01T00:00:08.403+0000] {standard_task_runner.py:91} INFO - Job 14: Subtask load_data
[2024-05-01T00:00:08.455+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_yellow_cab.load_data scheduled__2024-04-30T00:00:00+00:00 [running]> on host ee85e0733ed4
[2024-05-01T00:00:08.544+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_yellow_cab' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-04-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-30T00:00:00+00:00'
[2024-05-01T00:00:08.545+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T00:00:08.560+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:00:08.560+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:00:08.561+0000] {logging_mixin.py:188} INFO - enter for loop
[2024-05-01T00:00:08.561+0000] {logging_mixin.py:188} INFO - enter if loop
[2024-05-01T00:00:08.562+0000] {logging_mixin.py:188} INFO - enter file_upload function
[2024-05-01T00:00:08.562+0000] {logging_mixin.py:188} INFO - read filepath
[2024-05-01T00:00:08.953+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:09.101+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:09.493+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:09.652+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:09.813+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:09.968+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:10.114+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:10.261+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:10.547+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:10.694+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:10.842+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:11.011+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:11.173+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:11.500+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:11.679+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:12.142+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:12.445+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:12.691+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:12.840+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:13.179+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:13.332+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:13.501+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:13.705+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:13.907+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:14.208+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:14.389+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:14.600+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:14.830+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.012+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.297+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.452+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.625+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.799+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:15.948+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:16.218+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:16.400+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:16.564+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:16.727+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:16.901+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:17.085+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:17.416+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:17.620+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:17.798+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:17.940+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.090+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.377+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.516+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.673+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.829+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:18.979+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:19.172+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:19.461+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:19.609+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:19.761+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:19.902+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:20.041+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:20.326+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:20.607+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:20.779+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:20.953+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:21.190+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:21.479+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:21.647+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:21.790+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:21.931+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:22.096+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:22.244+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:22.545+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:22.846+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:23.248+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:23.506+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:23.715+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-05-01T00:00:24.049+0000] {logging_mixin.py:188} INFO - enden upload_to_db
